Sl.No.,Cr,Ti,V,W,beta_transus,solidus,delta,VEC,BSD,epsilon_p
98,35,20,10,35,1090.24,1769.57,679.33,5.5,0.944,3.381
99,10,15,15,60,938.05,2288.34,1350.29,5.55,0.954,2.857
100,5,10,25,60,834.38,2359.61,1525.23,5.55,0.954,2.857
101,20,20,25,35,834.66,1898.13,1063.47,5.35,0.915,4.553
102,5,5,25,65,854.54,2470.77,1616.23,5.65,0.973,0
103,10,25,30,35,771.53,1936.06,1164.53,5.2,0.887,6.642
104,5,30,10,55,876.72,2166.27,1289.55,5.3,0.906,5.051
105,30,10,25,35,893.7,1966.59,1072.89,5.55,0.954,2.857
106,5,25,35,35,751.77,1969.24,1217.47,5.15,0.877,7.879
107,10,10,15,65,879.2,2422.87,1543.67,5.65,0.973,0
108,35,10,20,35,978.77,1931.42,952.65,5.6,0.963,0
109,15,10,15,60,1033.87,2303.46,1269.59,5.65,0.973,0
110,10,30,15,45,882.14,1973.33,1091.19,5.25,0.896,5.724
111,15,35,10,40,931.23,1825.52,894.29,5.2,0.887,6.642
112,30,15,10,45,1150.72,1907.97,757.25,5.6,0.963,0
